--- Log Capture Start: 20260405_181005 ---
04-05 18:07:25.448 D/BleProximity: ℹ️ 打火指令已发送（协议无成功返回值），默认视为成功
04-05 18:07:25.451 D/BleProximity: 📊 指令出队: 120 秒打火 -> com.my.mg.bluetooh.BluetoothManage$OperationResult$SUCCESS@c17ef3d
04-05 18:07:25.518 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:25.717 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:25.919 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:26.121 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:26.322 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:26.523 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:26.725 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:26.928 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:27.129 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:27.330 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:27.532 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:27.734 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:27.937 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:28.140 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:28.342 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:28.544 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:28.746 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:28.948 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:29.150 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:29.353 D/BleProximity: 📡 EMA 信号: -70 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:29.555 D/BleProximity: 📡 EMA 信号: -71 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:29.758 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:29.966 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:30.168 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:30.370 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:30.600 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:30.783 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:30.992 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:31.199 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:31.404 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:31.617 D/BleProximity: 📡 EMA 信号: -72 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:31.822 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:32.026 D/BleProximity: 📡 EMA 信号: -73 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:32.235 D/BleProximity: 📡 EMA 信号: -74 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:32.441 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:32.644 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:32.875 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:33.062 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:33.265 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:33.469 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:33.679 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:33.891 D/BleProximity: 📡 EMA 信号: -75 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:34.094 D/BleProximity: 📡 EMA 信号: -75 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:34.301 D/BleProximity: 📡 EMA 信号: -76 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:34.510 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:34.718 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:34.921 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:35.148 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:35.340 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:35.546 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:35.753 D/BleProximity: 📡 EMA 信号: -83 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:35.955 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:36.162 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:36.368 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:36.574 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:36.781 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:36.986 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:37.199 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:37.425 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:37.633 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:37.840 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:38.042 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:38.247 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:38.451 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:38.658 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:38.864 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:39.072 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:39.280 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:39.480 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:39.707 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:39.912 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:40.112 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:40.320 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:40.523 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:40.732 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:40.939 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:41.143 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:41.351 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:41.559 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:41.763 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:41.974 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:42.176 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:42.382 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:42.589 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:42.789 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:42.992 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:43.197 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:43.402 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:43.605 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:43.814 D/BleProximity: 📡 EMA 信号: -82 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:44.016 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:44.228 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:44.432 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:44.637 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:44.842 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:45.050 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:45.268 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:45.475 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:45.681 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:45.887 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:46.096 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:46.300 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:46.517 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:46.711 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:46.918 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:47.127 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:47.333 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:47.552 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:47.759 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:47.965 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:48.168 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:48.379 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:48.585 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:48.806 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:49.004 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:49.207 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:49.412 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:49.622 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:49.827 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:50.030 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:50.236 D/BleProximity: 📡 EMA 信号: -80 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:50.445 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:50.651 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:50.858 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.065 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.268 D/BleProximity: 📡 EMA 信号: -79 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.475 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.679 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:51.883 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.112 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.312 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.520 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.728 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:52.937 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.143 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.361 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.556 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.762 D/BleProximity: 📡 EMA 信号: -77 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:53.969 D/BleProximity: 📡 EMA 信号: -78 | 落锁阈值:-90.0 | 解锁阈值:-87.0
04-05 18:07:54.175 D/BleProximity: 📡 EMA 信号: -81 | 落锁阈值:-90.0 | 解锁阈值:-87.0
